date,product,sales,revenue,region,customer_satisfaction
2024-01-01,Product A,45,1350,North,4.5
2024-01-01,Product B,32,960,South,4.2
2024-01-01,Product C,28,1120,East,4.7
2024-01-02,Product A,52,1560,North,4.6
2024-01-02,Product B,38,1140,South,4.3
2024-01-02,Product C,31,1240,East,4.8
2024-01-03,Product A,48,1440,North,4.4
2024-01-03,Product B,35,1050,South,4.1
2024-01-03,Product C,29,1160,East,4.6
2024-01-04,Product A,55,1650,North,4.7
2024-01-04,Product B,41,1230,South,4.4
2024-01-04,Product C,33,1320,East,4.9
2024-01-05,Product A,50,1500,North,4.5
2024-01-05,Product B,37,1110,South,4.2
2024-01-05,Product C,30,1200,East,4.7
2024-01-06,Product A,58,1740,North,4.8
2024-01-06,Product B,44,1320,South,4.5
2024-01-06,Product C,36,1440,East,5.0
2024-01-07,Product A,53,1590,North,4.6
2024-01-07,Product B,40,1200,South,4.3
2024-01-07,Product C,32,1280,East,4.8
2024-01-08,Product A,56,1680,North,4.7
2024-01-08,Product B,42,1260,South,4.4
2024-01-08,Product C,34,1360,East,4.9
2024-01-09,Product A,51,1530,North,4.5
2024-01-09,Product B,38,1140,South,4.2
2024-01-09,Product C,31,1240,East,4.7
2024-01-10,Product A,59,1770,North,4.8
2024-01-10,Product B,45,1350,South,4.5
2024-01-10,Product C,37,1480,East,5.0
